id,title,instructor,rating,rating_count,duration,price,difficulty,tags,url,image
1,Complete Python Bootcamp: From Zero to Hero,John Smith,4.7,152000,35,19.99,beginner,"programming,python,data science,automation",https://www.udemy.com/course/complete-python-bootcamp/,https://images.unsplash.com/photo-1526379095098-d400fd0bf935?auto=format&fit=crop&w=300&q=60
2,The Web Developer Bootcamp,Colt Steele,4.8,205000,63,24.99,beginner,"web development,html,css,javascript,node",https://www.udemy.com/course/the-web-developer-bootcamp/,https://images.unsplash.com/photo-1547658719-da2b51169166?auto=format&fit=crop&w=300&q=60
3,Machine Learning A-Z: Hands-On Python & R,Kirill Eremenko,4.5,135000,44,29.99,intermediate,"data science,machine learning,python,r,ai",https://www.udemy.com/course/machinelearning/,https://images.unsplash.com/photo-1527474305487-b87b222841cc?auto=format&fit=crop&w=300&q=60
4,React - The Complete Guide,Maximilian Schwarzmüller,4.6,128000,48,19.99,intermediate,"web development,javascript,react,frontend",https://www.udemy.com/course/react-the-complete-guide-incl-redux/,https://images.unsplash.com/photo-1633356122102-3fe601e05bd2?auto=format&fit=crop&w=300&q=60
5,Advanced CSS and Sass,Jonas Schmedtmann,4.8,42000,28,16.99,intermediate,"web development,css,sass,design",https://www.udemy.com/course/advanced-css-and-sass/,https://images.unsplash.com/photo-1523437113738-bbd3cc89fb19?auto=format&fit=crop&w=300&q=60
6,JavaScript: Understanding the Weird Parts,Anthony Alicea,4.9,65000,12,14.99,advanced,"javascript,web development,frontend",https://www.udemy.com/course/understand-javascript/,https://images.unsplash.com/photo-1579468118864-1b9ea3c0db4a?auto=format&fit=crop&w=300&q=60
7,AWS Certified Solutions Architect - Associate,Ryan Kroonenburg,4.7,75000,25,29.99,advanced,"cloud,aws,devops,certification",https://www.udemy.com/course/aws-certified-solutions-architect-associate/,https://images.unsplash.com/photo-1614064641938-3bbee52942c7?auto=format&fit=crop&w=300&q=60
8,The Complete Digital Marketing Course,Rob Percival,4.5,55000,52,24.99,beginner,"marketing,seo,social media,analytics",https://www.udemy.com/course/the-complete-digital-marketing-course/,https://images.unsplash.com/photo-1611926653458-09294b3142bf?auto=format&fit=crop&w=300&q=60
9,iOS 14 & Swift 5 - The Complete iOS App Development,Angela Yu,4.8,34000,55,34.99,intermediate,"mobile,ios,swift,app development",https://www.udemy.com/course/ios-13-app-development-bootcamp/,https://images.unsplash.com/photo-1621839673705-6617adf9e890?auto=format&fit=crop&w=300&q=60
10,Angular - The Complete Guide,Maximilian Schwarzmüller,4.6,98000,36,19.99,intermediate,"web development,angular,javascript,frontend",https://www.udemy.com/course/the-complete-guide-to-angular-2/,https://images.unsplash.com/photo-1593720219276-0b1eacd0aef4?auto=format&fit=crop&w=300&q=60
11,Modern JavaScript From The Beginning,Brad Traversy,4.7,42000,22,0.00,beginner,"javascript,web development,es6",https://www.udemy.com/course/modern-javascript-from-the-beginning/,https://images.unsplash.com/photo-1627398242454-45a1465c2479?auto=format&fit=crop&w=300&q=60
12,Advanced SQL Database Administration,David Kim,4.5,12000,18,129.99,advanced,"database,sql,mysql,postgresql",https://www.udemy.com/course/advanced-sql-database-administration/,https://images.unsplash.com/photo-1544383835-bda2bc66a55d?auto=format&fit=crop&w=300&q=60
13,Financial Modeling for Business Analysts,Sarah Johnson,4.7,25000,30,89.99,intermediate,"finance,excel,business,modeling",https://www.udemy.com/course/financial-modeling-for-business/,https://images.unsplash.com/photo-1611974789855-9c2a0a7236a3?auto=format&fit=crop&w=300&q=60
14,Blockchain Development Fundamentals,Michael Chen,4.6,18000,22,49.99,advanced,"blockchain,crypto,ethereum,web3",https://www.udemy.com/course/blockchain-development-fundamentals/,https://images.unsplash.com/photo-1639762681057-408e52192e55?auto=format&fit=crop&w=300&q=60
15,Banking Operations and Risk Management,Robert Williams,4.4,9500,40,75.99,intermediate,"banking,finance,risk,compliance",https://www.udemy.com/course/banking-operations-and-risk-management/,https://images.unsplash.com/photo-1601597111158-2fceff292cdc?auto=format&fit=crop&w=300&q=60
16,Master Digital Product Design: UX Research & UI Design,John Doe,4.6,14000,20,44.99,intermediate,"design,ux,ui,product design",https://www.udemy.com/course/master-digital-product-design-ux-research-ui-design/,https://images.unsplash.com/photo-1561070791-2526d30994b5?auto=format&fit=crop&w=300&q=60
17,Business Analysis Fundamentals,Jeremy Ameden,4.5,22000,10,19.99,beginner,"business,analysis,management,strategy",https://www.udemy.com/course/business-analysis-fundamentals/,https://images.unsplash.com/photo-1460925895917-afdab827c52f?auto=format&fit=crop&w=300&q=60
18,Project Management Professional (PMP),Joseph Phillips,4.7,40000,35,99.99,advanced,"business,management,pmp,certification",https://www.udemy.com/course/pmp-exam-prep-seminar/,https://images.unsplash.com/photo-1507537297725-24a1c434c178?auto=format&fit=crop&w=300&q=60
19,"Graphic Design Bootcamp: Photoshop, Illustrator, InDesign",Derrick Mitchell,4.6,18000,15,24.99,beginner,"design,graphic design,photoshop,illustrator",https://www.udemy.com/course/graphic-design-bootcamp/,https://images.unsplash.com/photo-1626785774573-4b799314346d?auto=format&fit=crop&w=300&q=60
20,Photography Masterclass: A Complete Guide to Photography,Phil Ebiner,4.7,55000,22,19.99,beginner,"photography,art,creative,lifestyle",https://www.udemy.com/course/photography-masterclass-complete-guide-to-photography/,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=300&q=60
21,The Complete Investment Banking Course,365 Careers,4.5,30000,14,34.99,advanced,"business,finance,investment,banking",https://www.udemy.com/course/the-complete-investment-banking-course-2016/,https://images.unsplash.com/photo-1611974789855-9c2a0a7236a3?auto=format&fit=crop&w=300&q=60
22,Agile Crash Course: Agile Project Management; Agile Delivery,Mauricio Rubio,4.4,12000,8,14.99,beginner,"business,agile,project management,scrum",https://www.udemy.com/course/agile-crash-course/,https://images.unsplash.com/photo-1531403009284-440f080d1e12?auto=format&fit=crop&w=300&q=60
